id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
26,400.471495,0.000660,0.842432,0.000000,0.000660,0.824901,coverage_anchor
0,405.127245,0.000763,1.000000,0.000000,0.000763,1.000000,coverage_anchor
1,405.457861,0.000693,0.927981,0.000000,0.000693,0.919968,coverage_anchor
2,405.466028,0.000759,0.914376,0.000000,0.000759,0.904849,coverage_anchor
3,405.619734,0.000675,0.904940,0.000000,0.000675,0.894363,coverage_anchor
4,405.624295,0.000742,0.864870,0.000000,0.000742,0.849835,coverage_anchor
6,405.785052,0.000795,0.867020,0.000000,0.000795,0.852224,coverage_anchor
7,406.108724,0.000689,0.958828,0.000000,0.000689,0.954247,coverage_anchor
8,406.118277,0.000743,0.896032,0.000000,0.000743,0.884464,coverage_anchor
10,406.412988,0.000736,0.859580,0.000000,0.000736,0.843957,coverage_anchor
11,406.589738,0.000706,0.905511,0.000000,0.000706,0.894998,coverage_anchor
12,406.595832,0.000716,0.864446,0.000000,0.000716,0.849364,coverage_anchor
34,407.861006,0.000663,0.860662,0.000000,0.000663,0.845158,coverage_anchor
36,408.076283,0.000655,0.867207,0.000000,0.000655,0.852432,coverage_anchor
37,408.087227,0.000833,0.857706,0.000000,0.000833,0.841874,coverage_anchor
38,408.311567,0.000699,0.876442,0.000000,0.000699,0.862695,coverage_anchor
43,408.845150,0.000689,0.888811,0.000000,0.000689,0.876440,coverage_anchor
44,408.850503,0.000781,0.858798,0.000000,0.000781,0.843087,coverage_anchor
50,415.703572,0.000666,0.863384,0.000000,0.000666,0.848183,coverage_anchor
52,415.844134,0.000707,0.855623,0.000000,0.000707,0.839558,coverage_anchor
59,416.543490,0.000795,0.855228,0.000000,0.000795,0.839120,coverage_anchor
62,421.287542,0.000737,0.838829,0.000000,0.000737,0.820896,coverage_anchor
84,428.158724,0.000692,0.839926,0.000000,0.000692,0.822116,coverage_anchor
99,434.131439,0.000715,0.872442,0.000000,0.000715,0.858249,coverage_anchor
101,434.483512,0.000752,0.859515,0.000000,0.000752,0.843884,coverage_anchor
114,440.211955,0.000755,0.861509,0.000000,0.000755,0.846099,coverage_anchor
134,447.119804,0.000817,0.810180,0.000000,0.000817,0.789059,coverage_anchor
163,460.371974,0.000586,0.900739,0.000000,0.000586,0.889694,coverage_anchor
203,474.447998,0.001120,0.742084,0.000000,0.001120,0.713387,coverage_anchor
214,483.053629,0.000625,0.753704,0.000000,0.000625,0.726300,coverage_anchor
